sentence,word,explanation,first_new_sentence,second_new_sentence
"1. **Joke**: What did the necktie say to the hat? you go on ahead, ill just hang around.  ",,,,
   **Word**: hang  ,,,,
   **Explanation**: Hang can refer to a physical action of suspending something and an informal way of passing time idly.  ,,,,
   **First new sentence**: The picture frame will hang on the wall for everyone to see.  ,,,,
   **Second new sentence**: I like to hang with my friends on the weekends.,,,,
2. **Joke**: Whats the hardest thing about becoming a lawyer in ireland? passing the bar.  ,,,,
   **Word**: bar  ,,,,
   **Explanation**: Bar refers to the legal profession (the qualification to practice law) and a physical establishment where drinks are served.  ,,,,
"   **First new sentence**: After years of study, she was finally able to pass the bar exam.  ",,,,
   **Second new sentence**: We decided to meet at the bar for drinks after work.,,,,
3. **Joke**: What did the egg say at the party? omelet.  ,,,,
   **Word**: omelet  ,,,,
   **Explanation**: Omelet can refer to the dish made from beaten eggs and can be used as a pun for I’m-a-let as someone who wants to join in.  ,,,,
   **First new sentence**: I enjoy making a delicious omelet filled with vegetables for breakfast.  ,,,,
"   **Second new sentence**: When you’re invited to any gathering, just remember to omelet (I’m-a-let) yourself have fun.",,,,
---,,,,
**CSV Format**:,,,,
"What did the necktie say to the hat? you go on ahead, ill just hang around.", hang, Hang can refer to a physical action of suspending something and an informal way of passing time idly., The picture frame will hang on the wall for everyone to see., I like to hang with my friends on the weekends.
Whats the hardest thing about becoming a lawyer in ireland? passing the bar., bar, Bar refers to the legal profession (the qualification to practice law) and a physical establishment where drinks are served.," After years of study, she was finally able to pass the bar exam.", We decided to meet at the bar for drinks after work.
What did the egg say at the party? omelet., omelet, Omelet can refer to the dish made from beaten eggs and can be used as a pun for I’m-a-let as someone who wants to join in., I enjoy making a delicious omelet filled with vegetables for breakfast.," When you’re invited to any gathering, just remember to omelet (I’m-a-let) yourself have fun."
