sentence,word,explanation,first_new_sentence,second_new_sentence
"1. **Wanna hear a joke about paper? nevermind, its tearable!**  ",,,,
   - sentence, word, explanation, first new sentence, second new sentence  
"   - Wanna hear a joke about paper? nevermind, its tearable!", tear, to separate or damage by force, I had to tear the paper to fit it into the envelope., The tear in the fabric could be mended with a patch.
2. **What did the judge say when the skunk walked in the courtroom? odor in the court!!!**  ,,,,
   - sentence, word, explanation, first new sentence, second new sentence  
   - What did the judge say when the skunk walked in the courtroom? odor in the court!!!, odor," a smell, especially a pleasant or characteristic one", The odor of freshly baked bread filled the room., The unpleasant odor from the garbage made me gag.
3. **What did the bunny ask his boss for? a raise in celery.**  ,,,,
   - sentence, word, explanation, first new sentence, second new sentence  
   - What did the bunny ask his boss for? a raise in celery., celery, a cultivated plant of the parsley family with a stalk that is eaten raw or cooked, I added celery to the salad for extra crunch., The celery of the corporation was raised to a new level in the successful merger.
4. **The main reason I got married is that I really hate driving..**  ,,,,
   - sentence, word, explanation, first new sentence, second new sentence  
   - The main reason I got married is that I really hate driving.., drive, to operate and control the direction and speed of a motor vehicle, I learned to drive when I was sixteen., The drive to succeed in her career motivated her to work hard.
Each entry is created to adhere to the specified formatting for a CSV file.,,,,
