Whats the difference between a hippo and a zippo? ones heavy and the other is a little lighter..., light, The term light can refer to something that does not weigh much., The bag was so light that I could carry it with one finger., The light from the lamp illuminated the entire room.
2. **Joke**: Why did the toilet paper roll down the hill? to get to the bottom.,,,,
   - bottom can refer to the lowest part and also to refer to a rear end.,,,,
CSV Format:,,,,
Why did the toilet paper roll down the hill? to get to the bottom., bottom, The bottom of the hill was covered in grass., He fell and landed on his bottom.,
3. **Joke**: I tried wrapping all the presents this year but I just dont have the gift.,,,,
   - gift can refer to a present and also a special talent or ability.,,,,
CSV Format:,,,,
I tried wrapping all the presents this year but I just dont have the gift., gift, A birthday gift was neatly wrapped in colorful paper., She has the gift of giving excellent advice.,
"If you want more specific examples or clarity on specific jokes, feel free to ask!",,,,
