sentence,word,explanation,first_new_sentence,second_new_sentence
"1. I used to work for Goodyear, but I had to quit... I got too tired.",,,,
   , tired , tired can mean both exhausted and refers to a type of rubber (tire) ," After a long day of hiking, I felt extremely tired. ", The car needs a new set of tired for better performance.
2. What do you call an aging actor who has finally paid off his house? mortgage freeman.,,,,
   , mortgage , mortgage refers to a loan specifically for real estate and can also mean to confer a lien on property , They took out a mortgage to buy their first home. ," After years of financial strain, they finally felt the weight of their mortgage lifted."
3. What do you call a deer with no eyes? I have no-eye-deer.,,,,
   , idea , idea can mean a thought or plan and is cleverly related to the phrase I have no idea. , She had a brilliant idea for the project. , His latest idea was so abstract that no one could decipher it. 
"4. What do they call me in prison? mitochondria, cause Im the powerhouse of the cell.",,,,
   , power , power can mean physical strength or energy and can also refer to control or authority , The athlete demonstrated incredible power during the competition. , The government has the power to enforce the law. 
5. What do you get when you throw a bomb in a French bathroom? linoleum blown-apart.,,,,
   , blown , blown can refer to the action of a wind impact and also to an explosion , The leaves were blown across the yard by the strong wind. , His chances of winning the contest were blown after he failed to submit his entry on time.
"Please note that while tired to tire and blown to blow fits the criteria, they may slightly stretch beyond the easy understanding of single meanings within humor.",,,,
