text,humor
Some idiot put a water bottle in the pringles can holder of this treadmill.,True
I wonder if houdini ever locked himself out of the house.,True
How do you give a redneck a circumcision? kick his sister in the jaw,True
Forget plastic surgery. enhance your beauty by getting those around you drunk,True
"What did whitney houston's coroner say as he unbuckled his belt? it's not right, but it's ok",True
What do you do with a no-legged greyhound? take it drag racing,True
If they ever make an alcoholic drink that tastes like a burrito i'll be dead within 5 hours.,True
"Want to hear a joke about vaginas? actually nevermind, you'll probably never get it",True
I'm a lonely status. i wish more people liked me.,True
How does michael j fox take his martinis? shaken. not stirred,True
What did the hamburger say when it pleaded 'not guilty'? i've been flamed!,True
Waiter waiter! there's a dead fly in my soup. oh no! who's going to look after his family?,True
What do you call a fight between a human and a gorilla? a harumble.,True
What do you call a group of black cartographers? niggas with latitude.,True
Apparently you have great tweets sounds a lot like you have great tits in a crowded bar.,True
My friends eyes are so skewed..  he looks like a cow,True
The guy who invented the velcro died last week rip,True
I would tell you a joke about sodium chloride... but its a bit too salty.,True
How does a redneck mom know her daughter is on the rag? her son's dick tastes funny.,True
Did you know it's impossible to piss your pants on purpose? it's a weird biological thing,True
"If i set a cheese trap, i'd probably fall for it before the mouse.",True
Hear about the hell's angels biker who's a baker? he's bad to the scone,True
I wanted to make a joke about a rapper i ended up making a big pun,True
No sane person argues with their gps as much as i do.,True
Why are pirates so mean? they just arrrrrrrrrrr!!!,True
What kind of pizza would the twin towers order? two plains.,True
When is it okay for monks to use e-mail? when there are no attachments,True
I tried convincing my melon-loving girlfriend to run away with me. but she told me she cantaloupe.,True
What is it called when you give money to a plains bison? a buffaloan!,True
How do you make a blonde laugh at easter? tell her a joke at christmas,True
What do you call someone who has 6.02 * 10^23 dollars? a mole-ionaire.,True
Scolding a cat after it does something wrong has been proven ineffective - cats,True
What is a caterpillar's biggest fear? a dogerpillar.,True
Why can't you e-mail a photo to a jedi? because attachments are forbidden.,True
I once dated a welsh girl with 36 dds. longest surname i've ever seen.,True
Why was the middle aged computer sad? he had a floppy disc.,True
"Well, today i had a brainfuck guess i'm not a surgeon anymore",True
How do 5 gay men walk? one direction!,True
What do you call a man that brews beer? a hebrew.,True
I'm 6'5 and i can't stop talking down to everyone,True
I asked siri to tell me a joke she turned the front-facing camera on,True
If twitter is a rave then facebook is a tupperware party.,True
"How do you comfort a grammar nazi? pat him or her on the back and say, their, they're...",True
Don't blindfold an asian with a shoe lace. that's lacist.,True
Australian is what happens when the british get wet and eat after midnight,True
I don't care how goodlooking you are if you don't have any brains. -zombies,True
What's the worst thing to say to a hipster? you remind me of someone,True
Life is like a packet of jelly beans nobody likes the black ones,True
Question: what do you call a gay dinosaur? answer: mega-sore-ass.,True
I always choose pepsi over coca-cola because i prefer my soda dehyphenated.,True
I wanted to tell a joke about a blind people.. ..i figured they wouldn't see it.,True
Why did the blonde get fired from the m&amp;m factory? because she kept throwing out all the ws.,True
What do you call a group of nit picky redditors? a headache.,True
What do you call ten sets of bagpipes at the bottom of the sea? a start.,True
There are three types of people in the world those who can count and those who can't!,True
"Hey, baby, are you a school? because i want to shoot kids inside you.",True
"What did the cholo say when the houses fell on him? 'ey, get off me homes!",True
"My sister... my sister asked if i wanted to have sex, i said well if you incest.",True
"Of all the bands named after handicapped jungle animals, def leppard is my favorite.",True
Why can't a bike stand on its own? it's two tired.,True
Why does lebron james drive automatic? he has no clutch.,True
"The beatles drummer, ringo starr, has passed away... ...the band is now known as the beatless.",True
"I was gonna say a joke about the disabled, but... it was lame.",True
Bedroom is an anagram of boredom i found that out while i was having sex with my wife,True
What do you call a lesbian dinosaur. licktalottapuss.,True
Here's a joke. sex. i know. i don't get it either,True
"The human body can survive 28 days without food, but only 11 minutes without internet.",True
Why did the owl 'owl? because the woodpecker would peck 'er.,True
Why does everyone scream when they see you? because your ugly!,True
"I want to die the same way i was born. naked, screaming, and covered in blood.",True
Why does dr pepper come in a can? because his wife left him.,True
How did the bucket's mom know he was sick? he was a little pail.,True
What do you call a black person on the moon? an astronaut you racist bastard.,True
What do people in the german alps say before they are about to do something crazy? yo-da-lay-hee-lo,True
How do you know you're at a gay bbq? all the hot dogs taste like shit.,True
Googled 'how to start a fire' got 10000 matches,True
What does a necrophiliac get at funerals? mourning wood,True
You're not an american until you've eaten more than the serving suggestion.,True
Sweaty palms make for good handjobs and that's the quickest way to turn an interview in your favor,True
It was obvious from the camera angle it was amc killing it's viewers. #twdfinale,True
Einstein developed a theory about space... ...it was about time too.,True
Why did the baker have smelly hands? because he needed a poo.,True
What do you get when you cross human dna and goat dna? kicked out of the petting zoo.,True
What do you call an angry pastry? a croissant,True
I'm giving up spray deodorants for the new year roll on 2017,True
What is donald trump's favorite city to visit. islamabad,True
How many black people do you need to start a riot? negative 1.,True
What did the ghost of kurt cobain say right after his death? my feet are killin' me!,True
How many instruments do you have to be terrible at before you start playing the triangle?,True
Texting chemists. where are you? out getting some potassium. umm...k? yeah exactly. ...,True
"I speak fluent hint. - no man anywhere, ever, never ever",True
What trumps favorite song make it rain (there are two way you can read this),True
"It costs over $235,000 for parents to raise a child today... and that's just for the alcohol.",True
Have you ever had sex while camping? its fucking in tents,True
Cop: do you know why i pulled you over? me: i'm not sure. over.,True
What would you get if you crossed a dinosaur  with a pig? jurassic pork!,True
Did you hear about the obese millionaire? he has a four chin.,True
What happens when a cow stops shaving? it grows a moostache.,True
What's the difference between a baseball and a fat girls pussy? you could probably eat a baseball.,True
Why did the pilgrims create thanksgiving? they wanted another excuse to watch football.,True
