text,humor
"If pro is the opposite of con, then what is the opposite of progress? congress",True
Why do lesbians shop at sport authority? because they don't like dick's,True
What do you call a deer that has really good eyesight? good idea. hint: good eye-deeeeah,True
Yo mama so short she has to use a ladder to pick up a dime.,True
What's the square root of 69? ate something,True
"What do you call a gay author? ...a fabulous fabulist. thank you, i'll be here all night.",True
What does the n on the nebraska football helmet stand for? nowledge.,True
My dictionary got into an argument with my thesaurus. they had words.,True
What type of car does an african drive? a sudan,True
You know why i quit working at the sausage factory? it was the wurst.,True
I don't make jokes i just watch the government and report the facts.,True
What do you a great jewish cook hitler,True
"English is hard to understand it can be understood through tough thorough thought, though.",True
"What's fast and breathes fast underwater? definitely not a toddler, i can tell you that now.",True
So what if i don't know what apocalypse means. it's not like it's the end of the world,True
What type of fruit wants to run away and get married but isn't able to? cantelope.,True
What kind of sick fuck figured out that you can make a cake out of carrots?,True
"If you think about it, malls are really just bazaar.",True
"Google in the 80s i'm sorry, did you mean to search for *deaf leopard*?",True
Did you hear about the pirate captain selling cheap corn? it was a buccaneer.,True
Have you heard the joke about ebola yet? you probably won't get it.,True
A lady walks into a bar and orders a double entendre... ...and the bartender gives it to her.,True
Why was the cop absent from work? he had swine flu,True
Me: so i... was never invisible? jail doctor: no. that's why you're in jail,True
Wonders why women spend so much on sunglasses? wouldn't it be cheaper to tint the kitchen windows?,True
There is a new barbie doll on the market - t2 barbie ...a study in silver,True
What do you call a group of beavers? a hens nights,True
"I love you. i love you, two. because multiple personality disorder.",True
My idea of responsibility is plugging my phone in at mid-day,True
Did you guys hear what the jews did when they rioted? they threw mazel tov cocktails,True
"Me: *goes to jail for murdering coworkers* boss: you're still coming in early tomorrow, right?",True
I had a teacher that refused to fail anyone... no fs given.,True
What idiot named it jurassic world instead of parks and rex,True
"Lol at all these fucking idiots in first class, cant even afford a private jet smh",True
Your restraining order says no but your lazy eye says.......maybe later.,True
Why do ninjas make bad porn stars? because nobody can see them coming.,True
What do you call someone with le neckbeard and le fedora le enlightened genius lol,True
I spend more time hitting the damn snooze button than i do snoozing.,True
"Instead of single as a marital status, it should read independently owned and operated",True
Have you seen stevie wonder's house? ...neither has he!,True
What is the difference between jelly and jam? i can't jelly my dick up your ass.,True
What do you call 20 millionaires watching the superbowl? the dallas cowboys,True
Don't die a virgin. well it's not like you get to choose.,True
The past present and future... the past present and future walk into a bar. it was tense.,True
Why is it so hard just to get your kids to say bitch please and bitch thank you,True
Parenting tip: wear clothing with pockets so you can flip off your children inconspicuously.,True
What's green and smells like pork? kermit's finger.,True
There is a fine line between important to me and dead to me. don't walk it.,True
Just saw two homeless men hitting each other with pieces of cardboard. pillow fight!!,True
"Q: what's the difference between an irish wedding, and an irish funeral? a: one less drunk.",True
What is jamaican pikachu's favorite dance? the polka mon,True
Q: what do you call an earthquake fault? a: a topographical error.,True
Did you hear about the new morning-after pill for men? it changes your blood type,True
Coca-cola should make a coca-cola flavored candy cane and call it a coke cane.,True
I was having trouble reverse parking... ...until i tried my back-up plan.,True
A group of feminists deciede to have a picnic... but nobody made any sandwhiches,True
What's the difference between jam and marmalade? i can't marmalade my dick down your throat.,True
How did dairy queen get pregnant? burger king didn't wrap his whopper.,True
What do pink floyd and dale earnhardt have in common? their last big hit was the wall.,True
Took a window fitting course the other day. smashed it.,True
What do you get when a cow jumps in cold water? utter udder shudder.,True
What was eve charged with after murdering adam in the garden? being a first-person shooter,True
I asked my welsh mate how many sexual partners he's had. he started counting and fell asleep.,True
Who was the first striker? jesus. he went for the cross,True
Im not sexist... because thats wrong and being wrong is for women,True
"Q: what does shakespeare say when he is angry with his dog? a: out, out, damned spot!",True
"My wife just told me to go to hell, anyone else need anything from walmart?",True
"You can buy wedding cake even if there's no wedding, those suckers don't even check",True
"You can kiss a nun once, you can kiss a nun twice.... ...but don't get into the habit",True
What do you see when you drop a piano down a mineshaft? a flat miner. edit: spelling,True
Did you hear about the 100lb midget with the 50lb balls? he was half nuts.,True
Why are people so sad in ferguson? because they live in misery,True
What do you call a gay cowboy? a jolly rancher.,True
Why do cats and dogs lick their own genitals? because they can reach.,True
What is the name of the guy with no body and no nose? nobody knows.,True
I lost my mood ring. i'm not sure how i feel about this.,True
Interviewer: what would you say is your biggest weakness? me:  laundry,True
I screwed up self-checkout at the supermarket and had to ask myself if i could see a manager.,True
I started this new whiskey diet. i've lost 4 days already!,True
"Had to delete my pokemon porn, because the new stuff is way better.",True
Why couldn't the physicists change the lightbulb? too much work.,True
Why did the boy fall off the bike? someone threw a fridge at him.... gold,True
Apple watches your money go into their pocket.,True
Resistance is not futile... it's voltage divided by current.,True
What do you get if you cross a chicken with a cement mixer ? a brick-layer !,True
What do you get when you cross an italian with a gorilla? a retarded gorilla.,True
What's the difference between a whale and a toaster? you didn't pop out of a toaster.,True
What separates the men from the apes? the mediterranean sea.,True
What does a mother use to keep her childrens' toenails soft and smooth? a pedi-file,True
My ex girlfriend was obsessed with my balls... i had to weiner off it.,True
"When i see a reality show, i can't decide which sucks more. reality or the show.",True
Q: what did the blind german say? a: i can nazi you!,True
What do women and aircraft share in common? they both have cockpits,True
Like if you remember having to rewind a video before you returned it.,True
What's the difference between trump and hitler? hitler never raped a 13 year old.,True
"Doctor doctor, i only have 59 seconds to live! be with you in a minute",True
Why did the seahawks pass the ball? to get to the other side!,True
Why is chapstick so popular? cause it's the balm baby!,True
What do you get if you pour boiling water  down rabbit holes? hot cross bunnies !,True
What do you call a coi fish that can't swim? a decoi,True
