text,humor
Jesus saves ... and esposito scores on the rebound!,True
What does pontiac stand for? poor old nincompoop thinks it's a cadillac,True
I'm a dyslexic tree... my life is a-ok!,True
I got a purebred beagle puppy for my wife i thought it was an awesome trade.,True
How do you tell a chemist from a non-chemist? ask them to pronounce 'unionized.',True
I hate being backwards guy when moving funiture. i could get hurt.,True
There are two kinds of people... those who can't finish other peoples sentences...,True
I made my money the old-fashioned way... i used a printing press,True
"If you're going to go house hunting, try to blend in with your surroundings. wear aluminum siding.",True
Why aren't there any female butchers? because anytime they touch meat it turns to bone.,True
Your momma so stupid she got locked in a  groceiry store and starved.,True
What kind of cell phone doesn't have a lock? a nokia,True
Him: i'm heading to the gym me: i'm heading to the fridge,True
What do you call a mean dust storm? darude - sandstorm,True
My girlfriend reacts to 'sex night' the way a 6 year old does to 'bath night',True
What's the difference between you and an egg? the egg actually gets laid!,True
Fred: you've got a roman nose. harry: like julius caesar? fred: no it's roamin' all over your face.,True
How to sound australian. say good eye might aloud.,True
"Every time a taco bell rings, an angel gets diarrhea",True
What do you call the sweat between two rednecks having sex? relative humidity!,True
Athiesgasm what would an atheist say while having an orgasm? oh my nothing,True
Spending half of the movie wondering where the fuck did i see this actor before...,True
"Cocky joke: you know, i've recently decided i just don't like my penis. it's such a huge dick.",True
Bob's volunteered to give a c programming workshop but needs a topic give that man some pointers,True
Why does duck taste better than turkey? because turkey is just poultry in comparison.,True
The winners write the history books... i guess the prize for winning is a boring-ass job?,True
"Grey goose and red bull, because two sets of wings is better than one.",True
"I once asked a girl if she smoked after sex. she said i don't know, i've never looked",True
Q. where does a fish keep his money a. in the river bank!,True
What do you call it when a lizard has problems in the bedroom? a reptile dysfunction,True
The nsa because they are a fucking joke,True
My dad beat me so hard. our priest asked him for some tips.,True
Why did the chicken attend the seance? to get to the other side.,True
What book is better when you read it drunk? tequila mockingbird.,True
Why won't microsoft hire any maids? because they don't do windows,True
I'll do your taxes for free if you tell my mom we're dating.,True
Why did the baker have smelly hands? he kneaded a poo.,True
What do you call someone who's never smoked weed? illiterate,True
"Dear tech support, i twied to puth my tongue in tha usthb port again. canth you helpf?",True
What's the most positive thing in africa? hiv,True
"If i could be indestructible for a day, its scary how many sharks i'd make out with.",True
What do you call a gay guy in a coma? a tomato.,True
Helping my kid memorize a list of cities and accidentally wrote a pitbull song.,True
Where does the king keep his penis? in his deskis.,True
Telling my kids that the titanic sunk because jack and rose had sex before marriage,True
Why did the redneck cross the road? because he couldn't get his dick out of the chicken.,True
Why don't they just get jehovah's witnesses to deliver the mail?,True
"Trump, 2 years into his presidency: what do you mean we can't just file for bankruptcy?",True
Passover jokes? in case conversation at our seder lags.,True
What do you call 2 guys hanging on the wall around a window? kurt and rod.,True
I like a good long cuddle with my girlfriend after sex it's the quickest way to deflate her,True
Why are uncircumcised people loners? because they're complete dicks.,True
My buddy bob got fired from mcdonald's he just couldn't ketchup in the training.,True
How do you tell michael jackson's age? you put a color scale next to his face.,True
I dont care about all the isis jokes they all blow up.,True
What is a british person's favorite cereal? cheerios. say it in a british accent,True
Are you the new english teacher? yes i are.,True
The new pope got bird flu... ...i heard he caught it from one of his cardinals.,True
Loads of people are lining up to buy my vampire teeth. fang queue.,True
"How much does a rabbi charge for a circumcision? nothing, he just keeps the tips.",True
You know what the hardest thing about rollerblading is? telling your parents you're gay.,True
"What did adam say to eve? stand back, i don't know how big this thing gets!",True
I've made many sacrifices to get where i am today. most of them were children.,True
"I have an intense fear of hiccups luckily, i only ever have one.",True
What do vampires have at eleven o'clock every day? a coffin break.,True
Why couldn't the cop save the hippie from drowning? he was too far out man,True
For the last time... i'm not depressed. this is just how i eat.,True
"What do you call a obese fortune teller? a fortune teller, you fpher!!!",True
Shit. the number the girl at the sprint store gave me is my number,True
I'm not sure donald trump is qualified to sit in an exit row on a plane,True
"If you think you could never kill another human being, you haven't met enough people.",True
What's the difference between jam and marmalade? i can't marmalade my cock in someones ass.,True
What do ducks and pseudo-science have in common? it's all just a bunch of quackery.,True
"Sadly, the man who invented the raffle has passed away. r.i.p tom bola",True
Why did the emo kid leave the bar? it was happy hour.,True
What do you call a grammatically incorrect horse? an horse.,True
"Hey white people, which filter are we using this year to instagram the pumpkin spice latte?",True
What do you call a bunch of rabbits walking backwards? a receding hare line!,True
You know who else had a pointy beard? satan.,True
I read the constitution... ...but only for the articles.,True
What do you call a king with a weed addiction? your royal highness.,True
What overalls does mario wear? denim denim denim,True
"Why does yoda think 5 is afraid of 7? because 6, 7 ate.",True
What did the x-axis say to the y-axis? this is my domain,True
I want to open a gay poker bar. and call it the space of aids,True
"Me: has anybody seen my henlay? you: what's a henlay? me: .....eggs :-,",True
What's the first rule for hitting on girls? hit them where it won't show.,True
"My brother and i share the same birthday. we aren't twins, our parents are just fucking cheap.",True
"My voicemail greeting: hey, it's me. please hang up and text me.",True
Anyone watch story on the news about the corduroy pillows? it's making all the headlines.,True
How does moses make his tea? hebrews it. i'm serious! that israeli how he does it!,True
Where do muslims go when they die? everywhere,True
"What did the tampon tell the other tampon? nothing, both were stuck up bitches.",True
"Why are pirates so mean? i dont know, they just arrrrrrrrr!",True
This joke is like a jamaican barbershop... dreadful,True
What's the plural of ebola west africa credit goes to /u/malfunkdung,True
What do you have if you are holding a cricket ball in each hand? a bloody big cricket.,True
What is the favourite meal of pakistani taliban members? tikka malala,True
I put the 'c**k' in 'puts c**k in anything'.,True
What did the pope give up for lent? his job.,True
